customer_id,acquisition_date,campaign_id,channel,first_order_value,customer_segment,email_hash
1,2024-01-14,1,paid_search,53.03,medium_value,2ddf4d9e1a100a88585681f9050f443786fd687f8e7b5bf19e4b1ccaf7d59cbc
2,2024-01-14,1,paid_search,45.1,low_value,f5f95f4eba839d6bc6f3419c4a0c64d707e8a3dac34e963dde6eb445af79326c
3,2024-01-14,1,paid_search,74.16,medium_value,98df86f7060c2862e99f7084d89ff0507c73db71c1372324e44b2e1d9dcf1d5f
4,2024-01-14,1,paid_search,92.99,medium_value,13262bc2f2f9683ebedeb81cb5b3a1b1e945b4bdb06abef9ac98bc6c9c518478
5,2024-01-15,1,paid_search,57.59,medium_value,270e28c6f44319f3fbb7feb173593f5a6dd81a2709ba5846ffbe94f2f3c8e19b
6,2024-01-15,1,paid_search,116.49,high_value,fb0b9c5081c923f8e137a67baaecc81cb421c82c4c1d024ba888ffc478c6c9dd
7,2024-01-15,1,paid_search,92.38,medium_value,da0b0ce21b6428317f16733f8abf0c610fb8e82591bb31e030a11261f91f07e5
8,2024-01-15,1,paid_search,72.23,medium_value,38ea18380d1d9d48d72944804706bbdeb0f981880ef94c5d6a4d6f0a79654c82
9,2024-01-15,1,paid_search,56.4,medium_value,0083e980088a9a4da8a1faf11229acc82554185db2b83488b02e36626b7f8a33
10,2024-01-17,1,paid_search,118.53,high_value,1e3a96e117d532959d8d86bef25768399e21721bdd864dbb7dd1317d6e70f1dc
11,2024-01-17,1,paid_search,106.16,high_value,11100772156f6a432eda0115f4fdf989c59ad478e2b67d51ce7ad59e04dc72c9
12,2024-01-17,1,paid_search,101.05,high_value,27ef6915694165704eb82dbc8d603ca68dca5796efc4d3678e563072725db088
13,2024-01-18,1,paid_search,66.73,medium_value,9d5ce0e705847a4582f011fe02fdd193dc4c9cfe183bbb8f3a03f5cde9642f37
14,2024-01-19,1,paid_search,75.36,medium_value,b3947ce0673094a4d6222f0168a8cee465a94380369715c8b1dbac6205414346
15,2024-01-20,1,paid_search,56.35,medium_value,ac6b483e0b77971921cc734ae52d93d2a3f796ad641cc19da6eab4d584c23c94
16,2024-01-21,1,paid_search,91.14,medium_value,a0f169c0f6156d429e2105ae0fd91305aaf1d2a9742213b5c5362a6521d892fd
17,2024-01-21,1,paid_search,124.52,high_value,3b22935a2f2cc5f69f4947abd242673b564e877ae19f14315be5176a9711520b
18,2024-01-21,1,paid_search,115.35,high_value,382c29d4a3a87b17e930ba64fab0a0e057b0feb4b1a70a6d74df5c817e806704
19,2024-01-22,1,paid_search,97.53,medium_value,61f7a058f098dbc4bd51cc5920ebbb9b68a2e2b60696ec45293b1e4ef9080f2f
20,2024-01-22,1,paid_search,100.1,high_value,f3b708d36b6e79893037a5c320d6254baf4fe221f4fc28340c0bf07b2fc65011
