customer_id,acquisition_date,campaign_id,channel,first_order_value,customer_segment,email_hash,created_at
1,2024-01-14,1,paid_search,53.03,medium_value,2ddf4d9e1a100a88585681f9050f443786fd687f8e7b5bf19e4b1ccaf7d59cbc,2026-01-01T19:41:23.03092
2,2024-01-14,1,paid_search,45.1,low_value,f5f95f4eba839d6bc6f3419c4a0c64d707e8a3dac34e963dde6eb445af79326c,2026-01-01T19:41:23.03092
3,2024-01-14,1,paid_search,74.16,medium_value,98df86f7060c2862e99f7084d89ff0507c73db71c1372324e44b2e1d9dcf1d5f,2026-01-01T19:41:23.03092
4,2024-01-14,1,paid_search,92.99,medium_value,13262bc2f2f9683ebedeb81cb5b3a1b1e945b4bdb06abef9ac98bc6c9c518478,2026-01-01T19:41:23.03092
5,2024-01-15,1,paid_search,57.59,medium_value,270e28c6f44319f3fbb7feb173593f5a6dd81a2709ba5846ffbe94f2f3c8e19b,2026-01-01T19:41:23.03092
6,2024-01-15,1,paid_search,116.49,high_value,fb0b9c5081c923f8e137a67baaecc81cb421c82c4c1d024ba888ffc478c6c9dd,2026-01-01T19:41:23.03092
7,2024-01-15,1,paid_search,92.38,medium_value,da0b0ce21b6428317f16733f8abf0c610fb8e82591bb31e030a11261f91f07e5,2026-01-01T19:41:23.03092
8,2024-01-15,1,paid_search,72.23,medium_value,38ea18380d1d9d48d72944804706bbdeb0f981880ef94c5d6a4d6f0a79654c82,2026-01-01T19:41:23.03092
9,2024-01-15,1,paid_search,56.4,medium_value,0083e980088a9a4da8a1faf11229acc82554185db2b83488b02e36626b7f8a33,2026-01-01T19:41:23.03092
10,2024-01-17,1,paid_search,118.53,high_value,1e3a96e117d532959d8d86bef25768399e21721bdd864dbb7dd1317d6e70f1dc,2026-01-01T19:41:23.03092
11,2024-01-17,1,paid_search,106.16,high_value,11100772156f6a432eda0115f4fdf989c59ad478e2b67d51ce7ad59e04dc72c9,2026-01-01T19:41:23.03092
12,2024-01-17,1,paid_search,101.05,high_value,27ef6915694165704eb82dbc8d603ca68dca5796efc4d3678e563072725db088,2026-01-01T19:41:23.03092
13,2024-01-18,1,paid_search,66.73,medium_value,9d5ce0e705847a4582f011fe02fdd193dc4c9cfe183bbb8f3a03f5cde9642f37,2026-01-01T19:41:23.03092
14,2024-01-19,1,paid_search,75.36,medium_value,b3947ce0673094a4d6222f0168a8cee465a94380369715c8b1dbac6205414346,2026-01-01T19:41:23.03092
15,2024-01-20,1,paid_search,56.35,medium_value,ac6b483e0b77971921cc734ae52d93d2a3f796ad641cc19da6eab4d584c23c94,2026-01-01T19:41:23.03092
16,2024-01-21,1,paid_search,91.14,medium_value,a0f169c0f6156d429e2105ae0fd91305aaf1d2a9742213b5c5362a6521d892fd,2026-01-01T19:41:23.03092
17,2024-01-21,1,paid_search,124.52,high_value,3b22935a2f2cc5f69f4947abd242673b564e877ae19f14315be5176a9711520b,2026-01-01T19:41:23.03092
18,2024-01-21,1,paid_search,115.35,high_value,382c29d4a3a87b17e930ba64fab0a0e057b0feb4b1a70a6d74df5c817e806704,2026-01-01T19:41:23.03092
19,2024-01-22,1,paid_search,97.53,medium_value,61f7a058f098dbc4bd51cc5920ebbb9b68a2e2b60696ec45293b1e4ef9080f2f,2026-01-01T19:41:23.03092
20,2024-01-22,1,paid_search,100.1,high_value,f3b708d36b6e79893037a5c320d6254baf4fe221f4fc28340c0bf07b2fc65011,2026-01-01T19:41:23.03092
21,2024-01-23,1,paid_search,65.37,medium_value,2df243d619ffa3c619d06e190e54edee26c19e441573c5c00eaa8dfe516ec863,2026-01-01T19:41:23.03092
22,2024-01-23,1,paid_search,77.31,medium_value,e0183d906d7f0bf2467048427dc28945220b447449fcc6b39560f0580eb7f46f,2026-01-01T19:41:23.03092
23,2024-01-23,1,paid_search,44.2,low_value,c82acc426c20c9bac4f5c8c8e1eae6e1f58c1a19eb5cff205118af1ebe23606b,2026-01-01T19:41:23.03092
24,2024-01-23,1,paid_search,108.83,high_value,41268760e998bba5c59be52e6eecf3555640e5a7d5d09c38d1410d8b43f5738b,2026-01-01T19:41:23.03092
25,2024-01-23,1,paid_search,107.74,high_value,3d6a8e4867dd63df98e6252a89b9ef6acb65f89491884b6bf0b45081ec162de4,2026-01-01T19:41:23.03092
26,2024-01-24,1,paid_search,43.26,low_value,87e7609b317012b8b044b0b6786f7c7968468d933de5519287a6b05c0aa4e1d3,2026-01-01T19:41:23.03092
27,2024-01-25,1,paid_search,119.98,high_value,0246fc54e13c9d3bd1a1b1688054e183c623f434262facffd6cd96471faf40fc,2026-01-01T19:41:23.03092
28,2024-01-25,1,paid_search,97.53,medium_value,8d2217deea7dd8521fb953a84101a6da0e8f0cb08083770998c0f5f132b67319,2026-01-01T19:41:23.03092
29,2024-01-25,1,paid_search,93.6,medium_value,82d5e324f0b4a05d9a143cf733d7f2110e89d08a37d458413f5ec9e411c2083c,2026-01-01T19:41:23.03092
30,2024-01-26,1,paid_search,43.22,low_value,e48a94243325b61bae35ab60518f8211c034510fad0417b8b74db8f1b5201b5d,2026-01-01T19:41:23.03092
31,2024-01-26,1,paid_search,63.95,medium_value,83c9290702c08f5e0e9fd5cf450bd8e8e64388804e12e1a083389518f03171c5,2026-01-01T19:41:23.03092
32,2024-01-26,1,paid_search,110.93,high_value,e047d8696480be3e4cf9d896c94a3cf215cb432f865f1cbd9b373c306aa6df65,2026-01-01T19:41:23.03092
33,2024-01-26,1,paid_search,68.46,medium_value,b65551038592877b3d1fc2259b6242762e078ae39ad8321930a6a5079c2d8ca4,2026-01-01T19:41:23.03092
34,2024-01-27,1,paid_search,124.7,high_value,e346434d3a25448e57dc46cb23b3d7fb1bd0297755ef716e61123472dc893666,2026-01-01T19:41:23.03092
